#{"t_start": 1743685495.1561525, "env_id": "LanguageLearningEnv-v0"}
r,l,t
572.0,41,66.902013
596.0,41,66.949587
606.0,41,66.997193
719.0,52,67.075909
596.0,51,67.13601
655.0,43,67.182103
670.0,41,67.228171
644.0,51,67.284785
613.0,41,67.331374
633.0,41,67.377959
724.0,41,67.427537
579.0,41,67.477652
613.0,41,67.529744
648.0,41,67.570825
618.0,43,67.621413
685.0,41,67.663486
643.0,46,67.727134
618.0,42,67.786368
686.0,41,67.829954
626.0,51,67.890693
646.0,41,67.943297
631.0,41,68.237347
646.0,41,68.283508
580.0,41,68.338111
708.0,51,68.407214
617.0,41,68.45179
541.0,41,68.493357
670.0,41,68.544954
674.0,51,68.617604
641.0,42,68.685252
649.0,51,68.751298
624.0,41,68.797642
641.0,41,68.843232
625.0,42,68.889919
667.0,51,68.954032
667.0,51,69.016144
635.0,43,69.066719
631.0,41,69.115308
615.0,41,69.168943
667.0,41,69.225581
650.0,51,69.290221
380.0,35,69.343879
651.0,41,69.411084
576.0,41,69.457163
560.0,41,69.520299
671.0,41,69.578399
600.0,41,69.638539
633.0,41,69.696222
632.0,41,69.759905
419.0,37,69.80799
622.0,41,69.856589
737.0,51,69.923758
478.0,54,69.989881
515.0,41,70.041487
580.0,41,70.095602
632.0,41,70.155691
651.0,41,70.211279
628.0,41,70.255343
653.0,51,70.310941
613.0,41,70.363494
689.0,51,70.452688
716.0,51,70.529857
687.0,41,70.588524
651.0,41,70.642617
748.0,51,70.728306
641.0,41,70.803017
613.0,41,70.886759
640.0,41,70.969838
635.0,41,71.028545
606.0,43,71.091265
634.0,41,71.147901
613.0,41,71.205519
617.0,41,71.263634
620.0,41,71.31873
619.0,42,71.381876
625.0,42,71.442262
632.0,41,71.503913
767.0,51,71.577092
660.0,41,71.629703
669.0,41,71.687325
598.0,54,71.760507
627.0,41,71.815632
632.0,41,71.872296
622.0,42,71.929762
499.0,41,71.987799
610.0,41,72.044084
542.0,41,72.091889
636.0,41,72.135854
668.0,51,72.193964
630.0,41,72.241506
597.0,41,72.293816
596.0,51,72.367308
612.0,41,72.445446
577.0,41,72.509624
583.0,42,72.571815
594.0,41,72.629491
672.0,51,72.701732
586.0,41,72.760894
590.0,41,72.828598
592.0,41,72.88386
681.0,41,72.939456
644.0,42,72.991062
734.0,52,73.052169
662.0,41,73.107324
598.0,41,73.171244
664.0,51,73.241099
673.0,41,73.293693
738.0,52,73.35879
651.0,41,73.404871
630.0,41,73.450481
632.0,41,73.494128
